work_order_id,asset_id,location_id,problem_code,problem_description,created_date,closed_date,technician_id,priority,cost,resolution_code,asset_category,asset_age_category,resolution_hours,season_flag
WO-01077,ASSET-180,LOC-19,ELEC-015,Generator warning alarm,2024-01-01 01:00:00,2024-01-01 04:31:12,EL-904,Medium,555.41,RESET,Electrical,old,3.52,winter
WO-02441,ASSET-150,LOC-26,PLMB-003,Drain clog,2024-01-01 02:00:00,2024-01-01 03:12:00,FR-212,Critical,237.74,PATCHED,Fire,old,1.2,winter
WO-00630,ASSET-232,LOC-35,STRC-004,Ceiling tile leak stain,2024-01-01 04:00:00,2024-01-01 06:58:48,EL-398,Critical,170.5,,Electrical,old,2.98,winter
WO-03064,ASSET-095,LOC-20,SEC-004,Access reader failure,2024-01-01 07:00:00,2024-01-01 12:52:12,FR-250,Critical,276.92,INSPECTED,Fire,new,5.87,winter
WO-04234,ASSET-054,LOC-11,LIFT-002,Door malfunction,2024-01-01 08:00:00,2024-01-01 10:55:12,GN-138,Medium,473.08,INSPECTED,General,new,2.92,winter
WO-02117,ASSET-155,LOC-01,LAND-002,Landscape irrigation issue,2024-01-01 16:00:00,2024-01-01 18:09:00,SC-528,Critical,101.73,PATCHED,Security,mid,2.15,winter
WO-04753,ASSET-496,LOC-41,LIFT-005,Cabin leveling fault,2024-01-01 16:00:00,2024-01-01 18:07:48,LF-571,High,367.87,PATCHED,Lift,old,2.13,winter
WO-04027,ASSET-249,LOC-20,LIFT-002,Door malfunction,2024-01-01 17:00:00,2024-01-01 22:27:00,EL-124,Critical,322.14,REPLACED,Electrical,old,5.45,winter
WO-04026,ASSET-249,LOC-20,LIFT-002,Door malfunction,2024-01-01 17:00:00,2024-01-01 22:27:00,EL-124,Critical,322.14,REPLACED,Electrical,old,5.45,winter
WO-04324,ASSET-494,LOC-43,SEC-004,Access reader failure,2024-01-01 18:00:00,2024-01-01 19:37:48,PL-993,Critical,276.72,INSPECTED,Plumbing,mid,1.63,winter
WO-01784,ASSET-481,LOC-47,WATR-002,Pump cavitation,2024-01-01 22:00:00,2024-01-02 01:25:48,HV-150,Low,476.32,INSPECTED,HVAC,new,3.43,winter
WO-03040,ASSET-005,LOC-49,ELEC-007,Circuit trip,2024-01-02 00:00:00,2024-01-02 04:18:36,GN-867,Low,85.0,INSPECTED,General,new,4.31,winter
WO-00408,ASSET-376,LOC-27,FIRE-002,Detector false alarm,2024-01-02 01:00:00,2024-01-02 05:52:12,GN-270,Critical,596.0,INSPECTED,General,mid,4.87,winter
WO-03531,ASSET-096,LOC-31,IT-005,UPS battery alert,2024-01-02 08:00:00,2024-01-02 10:30:36,HV-269,Critical,473.87,,HVAC,new,2.51,winter
WO-00921,ASSET-434,LOC-25,HVAC-004,Compressor short cycling,2024-01-02 09:00:00,2024-01-02 13:19:12,LF-533,High,669.41,PATCHED,Lift,old,4.32,winter
WO-03788,ASSET-250,LOC-39,PARK-004,Barrier gate fault,2024-01-02 17:00:00,2024-01-02 21:25:12,SC-603,High,85.0,PATCHED,Security,mid,4.42,winter
WO-04750,ASSET-141,LOC-49,ELEC-007,Circuit trip,2024-01-02 22:00:00,2024-01-03 03:51:00,LF-200,Medium,259.74,PATCHED,Lift,mid,5.85,winter
WO-03524,ASSET-415,LOC-08,BMS-003,Sensor communication fault,2024-01-03 01:00:00,2024-01-03 04:55:48,FR-367,High,505.15,RESET,Fire,old,3.93,winter
WO-01697,ASSET-394,LOC-08,HVAC-004,Compressor short cycling,2024-01-03 03:00:00,2024-01-03 06:14:24,,Low,374.69,RESET,HVAC,new,3.24,winter
WO-00990,ASSET-164,LOC-10,IT-005,UPS battery alert,2024-01-03 04:00:00,2024-01-03 06:15:00,EL-499,Critical,497.62,INSPECTED,Electrical,new,2.25,winter
WO-01674,ASSET-226,LOC-05,WATR-002,Pump cavitation,2024-01-03 05:00:00,2024-01-03 06:06:36,EL-265,Low,369.9,PATCHED,Electrical,new,1.11,winter
WO-02618,ASSET-145,LOC-07,LIFT-005,Cabin leveling fault,2024-01-03 06:00:00,2024-01-03 11:02:24,BM-117,Medium,569.91,REPLACED,BMS,old,5.04,winter
